ID;ancient_toponym;modern_location;longitude;latitude
2.04.03.01;Western Mouth of the Anas;Mouth of the Guadiana near Aesuris;-7,404786;37,178328
2.04.03.02;Eastern Mouth of the Anas;Mouth of the Guadiana near Lepe;-7,169964;37,219769
2.04.03.03;Eastward bend of the Anas;;;
2.04.03.04;Baetica-Lusitania-Tarraconensis Boundary;;;
2.04.03.07;Baetica-Tarraconensis Boundary;;;
2.04.03.08;Source of the Anas;;;
2.04.05.04;Onoba Aestuaria;Huelva;-6,939083;37,233064
2.04.05.05;Western Mouth of the Baetis;Mouth of the Guadalquivir near Villamanrique;-6,256708;37,259097
2.04.05.06;Eastern Mouth of the Baetis;Mouth of the Guadalquivir near Coria del R°o;-6,056856;37,265447
2.04.05.07;Source of the Baetis;;;
2.04.05.08;Estuary near Asta;near Mesas de Asta;-6,134533;36,874639
2.04.05.10;Harbor of Menestheus;near Puerto de Santa Maria;-6,194219;36,618764
2.04.05.11;Temple of Hera;Cabo Trafalgar;-6,035278;36,183333
2.04.05.12;Mouth of the Baelo;Mouth of the R°o del Valle;-5,68875;36,069039
2.04.05.13;Baelo;Bolonia;-5,775114;36,088606
2.04.06.02;Mellaria;Valdevaqueros;-5,682342;36,069472
2.04.06.03;Iulia Traducta;near Algeciras;-5,447122;36,127444
2.04.06.04;Barbesula;Torre de Guadiaro;-5,275231;36,294581
2.04.06.05;Carteia;El Rocadillo;-5,412142;36,185272
2.04.06.06;Calpe;Rock of Gibraltar;-5,344367;36,122681
2.04.07.02;Mouth of the Barbesula;Mouth of the Guadiaro;-5,280411;36,283994
2.04.07.03;Suel;Fuengirola;-4,628953;36,525194
2.04.07.04;Mouth of the Salduba;Mouth of the Guadalhorce;-4,454814;36,672667
2.04.07.05;Malaca;M†laga;-4,420003;36,721253
2.04.07.06;Maenoba;Cerro del Mar;-4,103531;36,740503
2.04.07.07;Sexi;Almu§Çcar;-3,692008;36,732658
2.04.07.08;Selambina;Salobre§a;-3,588681;36,742689
2.04.07.09;?????;Unknown cape;-3,234;36,742689
2.04.07.10;Abdara;Adra;-3,020675;36,749022
2.04.07.11;Portus Magnus;Golfo de Almer°a;-2,471667;36,833611
2.04.07.12;Cape of Charidemos;Cabo de Gata;-2,193028;36,721472
2.04.08.08;Baria;Vera;-1,773056;37,247778
2.04.10.03;Segida [Augurina];near Palma del R°o ;-5,239633;37,67235
2.04.10.04;Ilourgis;Cortijo de M†quiz, near Meng°bar;-3,762261;37,971208
2.04.10.05;Vogia;Estacion Elevadora;-4,098122;38,072672
2.04.10.06;Calpurniana;Ca§ete de la Torres;-4,044147;38,870394
2.04.10.07;Caecila;;;
2.04.10.08;Biniana;;;
2.04.11.01;Corduba;C¢rdoba;-4,780347;37,882369
